Metric;Path;Package;Class;LineNo;Value;ClassType;Violation
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/BatteryOverlayService.kt;com.android.synclab.glimpse.presentation;com.android.synclab.glimpse.presentation.BatteryOverlayService$updateRunnable$1;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;com.android.synclab.glimpse.di;com.android.synclab.glimpse.di.svace.AppContainerKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/utils/InputDeviceLogUtils.kt;com.android.synclab.glimpse.utils;com.android.synclab.glimpse.utils.svace.InputDeviceLogUtilsKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/infra/notification/MonitoringNotificationController.kt;com.android.synclab.glimpse.infra.notification;com.android.synclab.glimpse.infra.notification.svace.MonitoringNotificationControllerKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;com.android.synclab.glimpse.presentation;com.android.synclab.glimpse.presentation.MainActivity$WhenMappings;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/SettingItemAdapter.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.svace.SettingItemAdapterKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerProfile.kt;com.android.synclab.glimpse.data.model;com.android.synclab.glimpse.data.model.svace.ControllerProfileKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;com.android.synclab.glimpse.presentation.model;com.android.synclab.glimpse.presentation.model.svace.EventChangeParamKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/BatteryOverlayService.kt;com.android.synclab.glimpse.presentation;com.android.synclab.glimpse.presentation.svace.BatteryOverlayServiceKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/data/model/GamepadBatterySnapshot.kt;com.android.synclab.glimpse.data.model;com.android.synclab.glimpse.data.model.svace.GamepadBatterySnapshotKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;com.android.synclab.glimpse.presentation;com.android.synclab.glimpse.presentation.svace.MainActivityKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;com.android.synclab.glimpse.presentation;com.android.synclab.glimpse.presentation.MainActivity$setupSettingsLists$4;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/base/contracts/ControllerProfileRepository.kt;com.android.synclab.glimpse.base.contracts;com.android.synclab.glimpse.base.contracts.svace.ControllerProfileRepositoryKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;com.android.synclab.glimpse.presentation;com.android.synclab.glimpse.presentation.MainActivity$periodicRefresh$1;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/base/contracts/MonitoringStateProvider.kt;com.android.synclab.glimpse.base.contracts;com.android.synclab.glimpse.base.contracts.svace.MonitoringStateProviderKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/infra/input/InputDeviceGateway.kt;com.android.synclab.glimpse.infra.input;com.android.synclab.glimpse.infra.input.svace.InputDeviceGatewayKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/GetConnectedPs4ControllersUseCase.kt;com.android.synclab.glimpse.domain.usecase;com.android.synclab.glimpse.domain.usecase.svace.GetConnectedPs4ControllersUseCaseKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/data/state/MonitoringStateStore.kt;com.android.synclab.glimpse.data.state;com.android.synclab.glimpse.data.state.svace.MonitoringStateStoreKt;0;0;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/DeleteControllerProfileUseCase.kt;com.android.synclab.glimpse.domain.usecase;com.android.synclab.glimpse.domain.usecase.svace.DeleteControllerProfileUseCaseKt;0;0;CLASS;N
