Type;Signature;Path;LineNo
UNUSED_FUNCTION_PARAMETER;it;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/SettingsPanelView.kt;26
UNUSED_CLASS_METHOD;onBind;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/BatteryOverlayService.kt;0
UNUSED_CLASS_DATA_MEMBER;this$0;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;0
UNUSED_CLASS_DATA_MEMBER_DECLARATION;Companion;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;0
UNUSED_CLASS_METHOD;component5;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerLightCommandResult.kt;0
UNUSED_LOCAL_VARIABLE;$i$a$-getOrElse-GamepadRepositoryImpl$applyColorToTarget$stateAfter$2;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/GamepadRepositoryImpl.kt;0
UNUSED_LOCAL_VARIABLE;$i$a$-also-AppContainer$Companion$from$1$1;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;90
UNUSED_CLASS_DATA_MEMBER_DECLARATION;ACTION_START_MONITORING;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/BatteryOverlayService.kt;0
UNUSED_CLASS_DATA_MEMBER_DECLARATION;Companion;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;0
UNUSED_CLASS_METHOD;component1;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;0
UNUSED_CLASS_METHOD;valueOf;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;0
UNUSED_CLASS_METHOD;logDiagnosticInfo;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/GamepadRepositoryImpl.kt;0
