RelationType;FromEntity;FromPath;FromLine;ToEntity;ToPath;FromClass;ToClass;RelationCount;FromModule>ToModule;Key;Violation
CALLS;dispatchServiceAction;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;585;i;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.MainActivity;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
CALLS;handleBluetoothPermissionResult;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;561;w;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.MainActivity;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
CALLS;logInputDeviceCallback;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;677;d;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.MainActivity;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
CALLS;handleControllerProfileState;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;742;d;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.MainActivity;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
CALLS;dispatchServiceAction;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;582;i;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.MainActivity;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
CALLS;persistControllerProfile;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;830;d;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.MainActivity;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
CALLS;ensureForegroundPermissions;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;530;w;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.MainActivity;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
CALLS;logInputDeviceCallback;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;625;d;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.MainActivity;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
CALLS;logInputDeviceCallback;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;665;d;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.MainActivity;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
CALLS;logInputDeviceCallback;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;640;d;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.MainActivity;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
