FunctionName;FunctionSignature;Ploc;Bloc;FullPath;LineNo
showToast;void showToast(int);3;3;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;0
refreshSettingsStateLater;void refreshSettingsStateLater(long);8;8;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;0
applyChargingIconGlow;void applyChargingIconGlow(boolean);21;18;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;0
renderUiState;void renderUiState(com.android.synclab.glimpse.presentation.model.MainUiState);31;26;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;0
onRequestPermissionsResult;void onRequestPermissionsResult(int, String[], int[]);43;38;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;0
setupSettingsLists;void setupSettingsLists();10;10;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;0
dispatchServiceAction;boolean dispatchServiceAction(String, boolean);30;27;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;0
toHexColor;String toHexColor(int);3;3;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;0
onCreate;void onCreate(android.os.Bundle);56;51;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;0
onDestroy;void onDestroy();12;12;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;0
shouldRequestBluetoothConnectPermission;boolean shouldRequestBluetoothConnectPermission();7;7;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;0
handleSettingItemClicked;void handleSettingItemClicked(com.android.synclab.glimpse.presentation.model.SettingItemUiModel$ItemId);14;12;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;0
requestOverlayPermission;void requestOverlayPermission();20;19;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;0
loadControllerProfile;void loadControllerProfile(String);39;38;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;0
bindViewModelObserver;void bindViewModelObserver();12;12;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;0
provideOverlayWindowController;com.android.synclab.glimpse.infra.overlay.OverlayWindowController provideOverlayWindowController(android.content.Context);3;3;app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;0
provideMonitoringNotificationController;com.android.synclab.glimpse.infra.notification.MonitoringNotificationController provideMonitoringNotificationController(android.app.Service, String, String);7;7;app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;0
provideDeleteControllerProfileUseCase;com.android.synclab.glimpse.domain.usecase.DeleteControllerProfileUseCase provideDeleteControllerProfileUseCase();3;3;app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;0
provideConnectedPs4ControllersUseCase;com.android.synclab.glimpse.domain.usecase.GetConnectedPs4ControllersUseCase provideConnectedPs4ControllersUseCase();3;3;app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;0
provideGetControllerProfileUseCase;com.android.synclab.glimpse.domain.usecase.GetControllerProfileUseCase provideGetControllerProfileUseCase();3;3;app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;0
provideUpsertControllerProfileUseCase;com.android.synclab.glimpse.domain.usecase.UpsertControllerProfileUseCase provideUpsertControllerProfileUseCase();3;3;app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;0
provideSetPs4ControllerLightColorUseCase;com.android.synclab.glimpse.domain.usecase.SetPs4ControllerLightColorUseCase provideSetPs4ControllerLightColorUseCase();3;3;app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;0
provideMonitoringStateProvider;com.android.synclab.glimpse.base.contracts.MonitoringStateProvider provideMonitoringStateProvider();3;3;app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;0
provideClosePs4ControllerLightSessionUseCase;com.android.synclab.glimpse.domain.usecase.ClosePs4ControllerLightSessionUseCase provideClosePs4ControllerLightSessionUseCase();3;3;app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;0
provideInputDeviceGateway;com.android.synclab.glimpse.infra.input.InputDeviceGateway provideInputDeviceGateway();3;3;app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;0
